iter	Passed	Remaining
0	1	183
1	2	105
2	2	78
3	2	59
4	2	49
5	2	42
6	2	38
7	3	35
8	3	32
9	3	30
10	3	31
11	3	29
12	4	29
13	4	28
14	5	28
15	5	27
16	5	28
17	6	27
18	6	27
19	6	26
20	6	26
21	7	25
22	7	25
23	7	25
24	8	24
25	8	23
26	8	23
27	8	23
28	9	22
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	11	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	18
43	13	17
44	14	17
45	14	16
46	14	16
47	15	16
48	15	16
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	7
77	23	6
78	24	6
79	24	6
80	24	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	29	1
95	29	1
96	30	0
97	30	0
98	30	0
99	30	0
